Ticker,Name,Market Cap (B),P/E,Forward P/E,P/S,P/B,Dividend Yield (%),Dividend Payout Ratio,52W High,52W Low,Current Price,% From 52W High,1Y Return (%),Volatility (Daily),Volatility (Annual),Profit Margin (%),Operating Margin (%),ROE (%),ROA (%),Debt to Equity,Revenue Growth (YoY %),Earnings Growth (YoY %),R&D to Revenue (%),Gross Profit Margin (%)
ALLY,Ally Financial Inc.,9.87,57.38,7.74,1.48,0.83,365,2.14,43.99,21.62,32.13,-26.97,-15.41,0.02,0.37,4.51,1.32,2.16,0.16,,-5.5,,,
FHN,First Horizon Corporation,9.07,12.42,11.39,2.98,1.09,331,0.42,22.25,8.9,17.89,-19.61,24.89,0.03,0.44,26.34,38.26,8.99,1,,0.3,24.2,,
ZION,Zions Bancorporation N.A.,6.54,8.66,9.07,2.11,1.05,380,0.33,61.25,18.31,44.35,-27.59,10.96,0.03,0.47,25.79,33.59,13.18,0.92,,6.6,18.1,,
NBHC,National Bank Holdings Corporat,1.38,12.51,10.96,3.53,1.02,318,0.39,50.58,26.04,36.16,-28.51,11.38,0.02,0.34,28.64,34.64,8.72,1.11,,-9.7,-23.2,,
TATAMOTORS.NS,TATA MOTORS LIMITED,"2,371.71",7.44,9.85,0.54,2.19,45,0.03,"1,161.85",474.15,644.25,-44.55,-34.83,0.02,0.29,7.17,8.29,,,0.95,2.7,,45.76,0.54
TSLA,"Tesla, Inc.",891.34,158.13,85.41,9.31,11.94,,,479.86,142.05,276.73,-42.33,42.61,0.04,0.63,6.38,2.55,8.77,3.72,0.17,-9.2,-70.7,17.66,9.31
BYDDY,"BYD Co., Ltd.",143.85,22.35,30.04,0.17,1.19,90,0.21,108.48,43.04,94.32,-13.05,72.94,0.03,0.4,5.45,5.21,23.07,4.07,0.12,36.3,98.7,19.02,0.17
MBGYY,Mercedes Benz Group AG,58.35,5.15,,0.4,0.15,798,0.52,19.19,12.77,14.89,-22.42,-19.74,0.02,0.26,7.01,9.06,11.17,2.98,1.2,-3.8,-13.8,18.56,0.4
VWAGY,Volkswagen AG,54.44,4.56,3.73,0.17,0.03,611,0.42,16.33,8.62,11.04,-32.4,-21.1,0.02,0.28,3.5,8.79,6.42,2.32,1.29,0.2,-31.9,17.34,0.17
BAMXF,Bayerische Motoren Werke AG,53.59,6.68,5.89,0.38,0.59,508,0.52,116.44,69.75,88.05,-24.38,-17.73,0.02,0.35,5.12,4.79,8.17,2.73,1.17,-15.2,-36.2,14.74,0.38
GM,General Motors Company,43.35,7.04,4.24,0.23,0.69,102,0.08,59.91,26.23,44.87,-25.11,-1.58,0.02,0.34,3.08,7.64,8.56,2.76,2,2.3,30.9,11.97,0.23
MAHMF,Mahindra & Mahindra Ltd.,40.98,26.2,,0.03,0.05,74,0.19,38.9,14.13,33.8,-13.11,33.54,0.04,0.56,8.07,17.07,,,1.46,17,19.5,40.43,0.03
F,Ford Motor Company,39.38,6.78,5.66,0.21,0.88,739,0.53,13.69,8.69,9.9,-27.64,-16.42,0.02,0.36,3.18,1.9,13.45,1.16,3.59,4.9,,8.41,0.21
HYMTF,"Hyundai Motor Co., Ltd.",33.16,2.95,,0,0,569,0.12,69.25,33.26,50.05,-27.73,-9.62,0.03,0.4,6.78,8.18,11.69,2.8,1.29,9.2,-2.7,20.28,0
STLA,Stellantis N.V.,26.49,4.4,3.09,0.17,0.32,803,0.84,27.52,8.53,9.19,-66.6,-63.12,0.02,0.38,3.49,-2.25,6.72,1.92,0.45,-21.2,,13.31,0.17
LI,Li Auto Inc.,24.82,23.43,15.82,0.17,0.35,,,46.65,17.8,24.36,-47.77,-9.59,0.04,0.61,5.56,8.37,12.2,2.87,0.23,6.1,-37.8,20.53,0.17
GWLLY,"Great Wall Motor Company, Ltd.",22.64,7.68,,0.11,1.58,269,0.2,21.83,9.47,15.66,-28.26,12.51,0.04,0.6,5.63,1.82,14.54,2.42,0.27,-6.6,-44.7,18.91,0.11
GELYF,Geely Automobile Holdings Ltd.,21.39,9.55,,0.09,0.24,202,0.13,2.43,0.92,2.1,-13.58,80.58,0.03,0.47,6.93,4.13,18.92,2.27,0.07,29.7,47.9,15.88,0.09
XPEV,XPeng Inc.,17.9,,-41.16,0.44,0.56,,,26.34,6.63,18.52,-29.69,128.64,0.05,0.77,-14.17,-10.08,-17.13,-5.06,0.51,23.4,,14.64,0.44
RNLSY,Renault SA,15.37,18.03,,0.27,0.1,452,0.71,11.65,6.42,10.64,-8.67,4.55,0.02,0.34,1.34,6.9,2.89,2.08,2.31,14.7,,20.78,0.27
KIMTF,KIMTF,15.03,,,,,,,"1,189,250.38","-6,469.70",30.3,-100,-100.47,0.06,1.01,,,,,,,,,
RIVN,"Rivian Automotive, Inc.",15,,-4.84,3.02,2.29,,,27.64,8.4,13.27,-51.99,41.47,0.05,0.74,-95.51,-38.12,-60.45,-18.21,0.76,31.9,,-24.15,3.02
POAHY,Porsche Automobile Holding SE,12.56,,,,0.04,661,0.21,5.67,3.35,4.06,-28.44,-17.9,0.02,0.26,,,-44.38,-0.04,0.22,,,,
GNZUF,"Guangzhou Automobile Group Co.,",10.87,,,0.1,0.03,588,1.62,0.61,0.27,0.31,-49.34,-18.71,0.05,0.86,-1.06,-13.75,-2.19,-2.86,0.22,-7.8,,5.1,0.1
NIO,NIO Inc.,9.11,,-4.74,0.14,1.41,,,15.46,3.14,4.02,-74,-12.61,0.04,0.69,-34.47,-30.62,-103.95,-12.15,2.5,15.2,,9.88,0.14
NSANY,"Nissan Motor Co., Ltd.",8.31,11.85,5.51,0,0,464,0.5,9.64,4.36,4.74,-50.83,-33.33,0.03,0.4,0.84,0.99,2.23,0.5,1.4,1.6,,13.91,0
LCID,"Lucid Group, Inc.",7.44,,-2.77,9.21,1.91,,,8.12,2.01,2.44,-69.95,-2.4,0.05,0.75,,-312.6,-54.15,-20.65,0.48,49.2,,-114.27,9.21
SAIC,Science Applications Internatio,5.68,16.79,13.36,0.76,3.66,122,0.21,153.1,93.6,120.38,-21.37,-6.34,0.02,0.29,4.84,6.91,21.54,6.58,1.53,5.8,170.6,11.93,0.76
MMTOF,Mitsubishi Motors,3.79,6.92,,0,0,362,0.22,4.25,2.28,2.77,-34.81,-13.01,0.04,0.63,3.14,2.03,9.92,3.66,0.31,-7,,19.68,0
PSNY,Polestar Automotive Holding UK,2.17,,-2.94,1.06,-1.19,,,4.8,0.63,1.03,-78.54,-16.26,0.05,0.84,-68.08,-41.54,,-22.77,,-19,,-22.57,1.06
HYLN,Hyliion Holdings Corp.,0.26,,-7.12,173.61,1.06,,,3.84,0.54,1.5,-61.07,12.41,0.06,0.94,,"-1,129.82",-18.9,-12.95,0.03,,,100,173.61
